NAME	TYPE	LANGUAGE	LOCATION	DIRECT STREAM	YOUTUBE	WEBSITE	SOURCE
DW News	News	English	Germany	-	https://www.youtube.com/watch?v=pqabxBKzZ6M	https://www.dw.com/en/live-tv/channel-english	https://www.dw.com/en/
AlJazeera English	News	English	Qatar	-	https://www.youtube.com/watch?v=gCNeDWCI0vo	https://www.aljazeera.com/live	https://www.aljazeera.com/
