Name	IMAP	SMTP	OnionV3	Website	Registration	Notes
cock.li	mail.cock.li	mail.cock.li	xdkriz6cn2avvcr2vks5lvvtmfojz2ohjzj4fhyuka55mvljeso2ztqd.onion	https://cock.li	Open, requires manual unlocking of sending via PoW challenge [Python or JS script]	OnionV3 Website: http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion
monocles.eu	imap.monocles.eu	smtp.monocles.eu	-	https://mail.monocles.eu	Open, requires a monocles Account and valid subscription	See documentation: https://docs.monocles.eu/services/mail.service/
