#	lists.d Typosquatter Domain List	(c) 2023-2025 Greyhat Academy	LICENSED UNDER:	CC-BY-NC-SA 4.0
#	https://raw.githubusercontent.com/greyhat-academy/lists.d/main/typo.domains.block.list.tsv
#	This contains the Domains Blocks of Rogue ISPs and subsequent Reasons
#	Last-Modified	UNIXTIME:	1763199000

#	Typosquatters
##	Phishing Domains
###	Steam
staemcommunnutty.com
steamconmumity.com
staemcomunnuty.com
