ADDRESS	PROTOCOL	SOURCE
http://bt.pusacg.org:8080/announce	HTTP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
https://tracker.bt-hash.com:443/announce	HTTPS	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
udp://tracker.leechers-paradise.org:6969	UDP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
http://bt.henbt.com:2710/announce	HTTP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
http://atrack.pow7.com/announce	HTTP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
https://tracker.dutchtracking.com:80/announce	HTTPS	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
https://grifon.info:80/announce	HTTPS	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
https://tracker.parrotsec.org:443/announce	HTTPS	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
udp://tracker.aletorrenty.pl:2710/announce	UDP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
udp://p4p.arenabg.com:1337/announce	UDP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
https://tracker.moxing.party:6969/announce	HTTPS	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
udp://tracker.internetwarriors.net:1337/announce	UDP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
udp://zephir.monocul.us:6969/announce	UDP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
udp://tracker.kicks-ass.net:80/announce	UDP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
https://tracker.ipv6tracker.ru:80/announce	HTTPS	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
https://explodie.org:6969/announce	HTTPS	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
https://tracker.fastdownload.xyz:443/announce	HTTPS	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
https://gwp2-v19.rinet.ru:80/announce	HTTPS	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
https://tr.kxmp.cf:80/announce	HTTPS	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
