#	lists.d IPv4-DROP List	(c) 2023-2026 Greyhat Academy	LICENSED UNDER:	CC-BY-NC-SA 4.0
#	https://raw.githubusercontent.com/greyhat-academy/lists.d/main/drop.ipv4.block.list.tsv			
#	This contains the IPv4 Adress Blocks of Rogue ISPs and subsequent Reasons 			
#	Last-Modified	UNIXTIME:	1767469500

### KiwiFarms				
##	AS36114	VegasNAP LLC / fiberhub.com	Rogue ISP	Hosting Hategrooming Forum [KiwiFarms] via Colocation
104.143.10.0/23
104.194.0.0/23
104.194.26.0/23
104.238.228.0/22
72.46.128.0/22
72.46.132.0/22
76.164.192.0/19
76.164.224.0/21
76.164.236.0/22

##	AS53340	VegasNAP LLC / fiberhub.com	Rogue ISP	Hosting Hategrooming Forum [KiwiFarms] via Colocation
102.129.131.0/24
102.165.18.0/24
104.128.68.0/23
104.128.70.0/23
104.128.78.0/23
104.143.0.0/23
104.194.2.0/23
104.225.132.0/22
104.225.248.0/22
104.225.250.0/23
104.225.254.0/23
104.238.210.0/23
147.189.133.0/24
147.189.139.0/24
154.16.176.0/24
162.249.226.0/23
162.251.232.0/22
162.251.236.0/22
172.93.0.0/23
172.96.132.0/23
172.96.134.0/23
176.111.222.0/24
185.143.240.0/24
191.96.178.0/24
191.96.179.0/24
192.228.100.0/22
192.228.104.0/22
192.228.108.0/23
192.228.109.0/24
192.228.96.0/23
193.160.70.0/24
193.8.194.0/24
199.127.56.0/22
199.19.76.0/23
199.19.78.0/23
199.241.140.0/22
199.43.206.0/24
199.47.208.0/22
202.5.29.0/24
204.77.0.0/20
204.77.0.0/23
204.77.1.0/24
206.191.192.0/19
207.204.228.0/24
216.131.86.0/24
23.133.4.0/24
37.221.108.0/24
45.10.22.0/24
45.141.129.0/24
45.141.15.0/24
45.89.254.0/24
5.182.50.0/24
5.183.77.0/24
64.112.60.0/22
76.164.234.0/23
80.76.47.0/24
8.23.72.0/24
83.150.219.0/24
85.31.53.0/24
86.106.183.0/24

##	AS30860	Virtual Systems LLC / v-sys.org	Rogue ISP	Hosting Hategrooming Forum [KiwiFarms]
152.89.60.0/24
152.89.61.0/24
152.89.62.0/24
152.89.63.0/24
173.239.241.0/24
176.119.24.0/24
176.119.25.0/24
176.119.26.0/24
176.119.27.0/24
176.119.28.0/24
176.119.29.0/24
176.119.30.0/24
185.233.186.0/24
185.254.196.0/23
185.254.198.0/24
185.254.199.0/24
185.255.120.0/24
185.66.88.0/23
185.66.90.0/24
185.66.91.0/24
193.107.200.0/23
193.107.200.0/24
193.107.201.0/24
193.107.202.0/24
193.23.181.0/24
194.42.204.0/22
195.66.210.0/24
31.42.184.0/23
31.42.186.0/24
31.42.187.0/24
45.11.58.0/24
45.11.59.0/24
45.12.1.0/24
45.12.2.0/24
45.134.172.0/24
45.134.173.0/24
45.135.192.0/24
45.135.195.0/24
45.95.235.0/24
62.182.80.0/23
62.182.82.0/23
62.182.84.0/24
62.182.85.0/24
62.182.86.0/24
62.182.87.0/24
91.208.115.0/24
91.224.10.0/24
91.235.142.0/23
91.235.142.0/24
91.235.143.0/24
95.214.232.0/24
95.214.233.0/24
95.214.234.0/23

## AS56655	TerraHost AS	Rogue ISP	Providing Hosting Services for Hategrooming Forum [KiwiFarms]
102.223.180.0/24
102.223.181.0/24
104.250.178.0/24
141.101.146.0/24
172.94.70.0/24
185.125.168.0/22
185.14.97.0/24
185.181.60.0/22
185.243.216.0/24
185.243.217.0/24
185.243.218.0/24
193.200.238.0/24
193.243.189.0/24
194.32.107.0/24
195.16.73.0/24
198.140.141.0/24
216.122.174.0/24
45.88.200.0/24
45.88.201.0/24
91.149.227.0/24

##	AS208046	Maximilian Kutzner trading as HostSlick / hostslick.com	Rogue ISP	Providing Hosting Services for Hategrooming Forum [KiwiFarms]
109.205.214.0/24
185.196.220.0/24
185.99.135.0/24
193.142.146.0/24
193.142.147.0/24
193.142.59.0/24
194.87.14.0/24
195.54.59.0/24
45.129.230.0/23
45.134.225.0/24
46.23.110.0/24
5.253.84.0/24
5.253.86.0/24
78.142.18.0/24
79.124.8.0/24

##	AS49447	Nice IT Services Group Inc. / as49447.net	Rogue ISP	Providing Hosting Services for Hategrooming Forum [KiwiFarms]
45.9.148.0/24
45.9.149.0/24
45.9.150.0/23

###	AS202685 pfcloud.io
##	for Hosting malware / portscanners
####	See: https://github.com/greyhat-academy/lists.d/issues/42
141.98.4.0/24
147.78.102.0/24
193.35.18.0/24
31.13.211.0/24
45.128.232.0/24
84.54.51.0/24
87.121.69.0/24
94.103.124.0/24

###	AS396982	Google LLC
##	for Hosting malware / portscanners
####	See: https://github.com/greyhat-academy/lists.d/issues/57
35.203.210.0/23
162.216.149.0/24
162.216.150.0/24
##	expanse.co
198.235.24.0
205.210.31.0/24

###	AS13335 Cloudflare Inc
##	for Hosting malware / portscanners
####	See: https://github.com/greyhat-academy/lists.d/issues/57
104.28.154.0/24
